budget_id,user_id,category_id,monthly_limit
1,1,6,2972298
2,1,6,8316613
3,1,2,3338147
4,0,1,4510163
5,1,7,3426736
6,1,8,3090686
7,0,3,1054322
8,0,4,5483749
9,1,7,9748688
10,1,2,5828395
11,1,7,1570011
12,0,1,2071164
13,0,7,4104291
14,1,1,1689595
15,0,8,3095355
16,1,7,3725436
17,1,1,3480212
18,0,5,3203308
19,0,3,2660809
20,0,7,9472322
21,0,8,6220096
22,1,1,4460344
23,1,6,1303158
24,0,7,9376056
25,0,5,4563965
26,0,5,5575180
27,0,8,3635761
28,1,8,2072107
29,0,6,7892818
30,1,7,9819160
31,0,1,6997196
32,0,5,6324203
33,1,5,2493579
34,0,6,2200861
35,1,6,4713456
36,0,3,7968040
37,1,6,9219431
38,1,3,9006540
39,1,1,2550104
40,1,2,9351379
41,0,5,1828984
42,0,3,6504967
43,0,3,7558234
44,1,2,9855932
45,0,1,5640684
46,1,6,2670638
47,0,6,2679044
48,1,3,6645627
49,1,3,1135153
50,0,7,3359883
51,1,7,8410636
52,1,8,9015397
53,0,2,2134997
54,0,7,6141880
55,1,6,3082686
56,1,8,8836106
57,1,1,1621639
58,0,3,7736315
59,1,6,8010615
60,1,4,2992924
61,1,4,1079947
62,1,1,4543580
63,0,8,3919681
64,1,4,2138876
65,1,6,3520986
66,0,3,1658796
67,0,3,1629533
68,0,1,2613503
69,0,2,8576518
70,1,8,7997631
71,0,2,8700241
72,0,2,1437092
73,1,2,1456064
74,0,4,1766285
75,0,2,2004732
76,1,6,9035507
77,0,4,3388393
78,0,2,6685584
79,0,4,2315566
80,1,4,5483559
81,0,1,4382790
82,0,2,5423165
83,1,4,7235973
84,1,6,3075557
85,1,2,8620171
86,0,7,5462752
87,0,3,7116199
88,0,1,6042949
89,0,4,1975245
90,0,3,9092574
91,1,7,8818165
92,1,2,4230835
93,1,2,5623583
94,1,4,3559249
95,0,8,8995439
96,1,8,9929490
97,0,2,2186673
98,1,3,7735907
99,0,6,8455355
100,1,4,4006312
101,0,7,1540296
102,0,7,5214904
103,0,6,9192900
104,0,2,9509431
105,0,2,8122839
106,1,5,3939520
107,0,3,7669347
108,0,3,2417804
109,0,2,7666278
110,0,4,2859694
111,0,4,5361816
112,1,8,8723639
113,1,8,8181656
114,1,2,5762633
115,0,7,8617439
116,0,7,4329159
117,1,7,4235252
118,1,6,8543915
119,1,2,2276755
120,0,8,1586249
121,0,1,6917219
122,1,5,8926500
123,1,1,6290776
124,0,7,4379231
125,0,3,7764430
126,1,4,5561599
127,0,7,6504891
128,0,3,7621457
129,0,2,5093372
130,1,5,2283749
131,1,8,8674190
132,0,3,2033231
133,1,2,2507790
134,0,6,9760293
135,0,6,6388777
136,1,3,6971436
137,0,2,4256319
138,0,6,3295898
139,1,2,6819700
140,0,1,3879826
141,0,4,8380220
142,1,8,3177435
143,1,3,1397754
144,0,7,9009581
145,1,7,1562771
146,0,3,1457780
147,0,2,4028367
148,1,8,1283772
149,1,8,5812995
150,0,6,2153837
151,0,6,9443301
152,1,4,4270211
153,0,5,6050894
154,0,2,5079505
155,0,1,7212332
156,0,3,6682437
157,0,7,8788546
158,0,2,5150592
159,0,1,1593036
160,1,1,8539548
161,0,8,5133574
162,1,6,3232190
163,0,2,4527820
164,0,8,3526838
165,0,8,3651525
166,0,2,7858600
167,0,7,9543901
168,0,5,3913112
169,0,3,8993679
170,0,1,9112985
171,0,5,1121981
172,0,7,3466952
173,0,7,9746410
174,1,1,8563405
175,0,8,4697051
176,0,3,8022875
177,1,1,9864163
178,1,4,5688553
179,0,8,2283984
180,0,8,3762688
181,1,7,6317641
182,1,5,1673500
183,1,7,6986083
184,1,3,6455462
185,1,6,8075978
186,1,8,5932091
187,1,8,9824459
188,1,5,6588371
189,0,5,3963555
190,0,5,2816724
191,1,1,2141941
192,0,3,8676376
193,0,6,2429764
194,0,1,8150214
195,1,7,1653511
196,1,1,4075319
197,1,2,6439076
198,1,8,3670413
199,0,7,5997130
200,0,7,1154934
201,1,5,6581631
202,0,2,3664759
203,1,3,6141223
204,1,7,4401508
205,0,5,6717394
206,1,1,7259780
207,1,3,2428089
208,1,5,3898596
209,0,7,2152513
210,0,6,3366162
211,1,2,2741351
212,1,3,7434860
213,1,7,7586520
214,0,6,1355451
215,1,7,7062389
216,1,7,4441403
217,0,8,5231503
218,0,5,9078547
219,1,3,4203220
220,0,4,2080039
221,1,7,8718010
222,0,3,2339475
223,1,1,5749184
224,1,6,6669312
225,1,7,1559011
226,0,7,5035207
227,0,4,3905024
228,0,8,4251978
229,1,8,9264658
230,1,6,3528023
231,1,7,5844811
232,1,5,5288177
233,1,2,6110043
234,1,7,1312085
235,0,4,6045012
236,0,3,8916647
237,1,4,2308060
238,1,6,8146090
239,0,4,4858448
240,0,4,9996690
241,0,6,5089557
242,0,6,9329329
243,0,4,6924855
244,0,3,2221782
245,0,1,7771344
246,0,8,3647282
247,1,2,3484472
248,0,6,1823138
249,1,5,8742333
250,1,7,2553163
251,1,4,3242455
252,1,5,4623196
253,0,7,4391950
254,0,3,5922437
255,0,6,8794021
256,1,5,8818258
257,0,7,4382948
258,0,1,5802650
259,0,2,7875416
260,1,2,8573075
261,0,8,4496681
262,0,4,6124268
263,0,5,6244625
264,1,5,9588944
265,1,3,5199404
266,0,6,3635213
