transaction_id,account_id,category_id,amount,payment_method,transaction_date
1,70,2,3490,Bank Transfer,10/21/2025
2,36,4,3158,Credit Card,2/2/2026
3,50,8,1547,Bank Transfer,8/19/2025
4,46,7,50,Bank Transfer,11/9/2025
5,72,7,595,Bank Transfer,2/2/2026
6,118,8,228,E-wallet,8/27/2025
7,77,3,1000,Bank Transfer,8/18/2025
8,13,1,4220,QR Payment,1/20/2026
9,22,4,2097,QR Payment,5/8/2026
10,113,2,344,Bank Transfer,10/11/2025
11,56,4,1695,Debit Card,2/17/2026
12,84,4,1095,E-wallet,8/15/2025
13,107,2,2086,QR Payment,8/31/2025
14,70,7,3816,E-wallet,1/25/2026
15,13,5,3147,QR Payment,11/24/2025
16,101,5,4462,E-wallet,5/2/2026
17,73,8,3949,Debit Card,12/1/2025
18,89,4,2263,Credit Card,2/23/2026
19,28,7,2595,Debit Card,7/9/2025
20,18,7,4904,Bank Transfer,7/14/2025
21,113,5,169,Debit Card,10/1/2025
22,103,7,1258,QR Payment,5/11/2026
23,7,4,4753,Debit Card,7/3/2025
24,84,1,1341,QR Payment,1/27/2026
25,86,6,3019,QR Payment,1/9/2026
26,43,5,4331,QR Payment,10/21/2025
27,28,8,2451,Credit Card,5/1/2026
28,80,6,857,Bank Transfer,7/1/2025
29,106,6,1381,Bank Transfer,6/18/2025
30,10,8,4424,Credit Card,8/7/2025
31,40,2,2597,Debit Card,7/8/2025
32,3,1,1592,QR Payment,3/19/2026
33,79,1,1394,Bank Transfer,7/5/2025
34,75,6,1531,QR Payment,8/10/2025
35,92,2,1520,Credit Card,10/4/2025
36,103,4,278,Debit Card,11/16/2025
37,24,4,2495,QR Payment,12/16/2025
38,38,1,4632,QR Payment,3/14/2026
39,97,3,708,Credit Card,4/28/2026
40,88,8,2333,QR Payment,10/21/2025
41,33,6,2869,Debit Card,10/16/2025
42,7,8,3694,Debit Card,3/25/2026
43,81,5,798,E-wallet,5/30/2025
44,82,3,1292,Bank Transfer,11/17/2025
45,92,7,404,E-wallet,1/25/2026
46,112,8,2500,E-wallet,6/2/2025
47,36,1,3479,Bank Transfer,2/21/2026
48,84,6,2731,Credit Card,12/22/2025
49,114,7,3426,E-wallet,2/26/2026
50,21,8,447,Bank Transfer,5/1/2026
51,5,5,1994,QR Payment,9/4/2025
52,87,8,2242,Debit Card,9/28/2025
53,84,8,2399,Debit Card,7/5/2025
54,65,7,891,Debit Card,8/22/2025
55,9,6,1858,Credit Card,6/24/2025
56,10,3,81,QR Payment,12/9/2025
57,51,2,3037,E-wallet,7/2/2025
58,64,3,2659,Debit Card,10/23/2025
59,73,7,3860,Bank Transfer,6/7/2025
60,32,8,1298,E-wallet,10/5/2025
61,5,1,2602,E-wallet,2/17/2026
62,54,3,2156,E-wallet,6/2/2025
63,70,2,854,Credit Card,1/7/2026
64,12,3,1675,Bank Transfer,3/22/2026
65,71,7,1708,QR Payment,1/25/2026
66,2,8,3833,E-wallet,8/20/2025
67,111,5,655,Debit Card,9/21/2025
68,15,8,4141,QR Payment,10/12/2025
69,110,7,3302,Bank Transfer,3/18/2026
70,106,2,3605,Bank Transfer,3/9/2026
71,95,2,2955,E-wallet,3/30/2026
72,108,5,735,Credit Card,3/15/2026
73,96,8,3870,E-wallet,1/23/2026
74,67,2,4112,Debit Card,8/26/2025
75,102,8,4309,E-wallet,1/14/2026
76,34,6,3690,Bank Transfer,2/21/2026
77,116,1,1469,Debit Card,5/27/2025
78,24,8,1964,E-wallet,12/14/2025
79,86,1,283,E-wallet,3/17/2026
80,24,7,4842,E-wallet,1/5/2026
81,107,5,2213,Credit Card,8/18/2025
82,21,8,3542,QR Payment,9/30/2025
83,119,1,834,E-wallet,1/13/2026
84,35,2,34,Bank Transfer,1/17/2026
85,97,5,4843,QR Payment,5/15/2026
86,5,8,4790,Credit Card,12/1/2025
87,82,8,115,QR Payment,3/1/2026
88,46,6,4833,E-wallet,3/22/2026
89,57,4,3166,Debit Card,6/7/2025
90,68,2,1213,QR Payment,7/29/2025
91,1,2,616,QR Payment,5/11/2026
92,45,7,3144,E-wallet,9/19/2025
